sep=,
Steam Sales data for Jason Rohrer: 2014-01-27 - 2014-02-27

Date, Bundle(ID#),Bundle Name,Product(ID#),Product Name,Type,Game,Platform,Country Code,Country,Region,Gross Units Sold,Chargeback/Returns,Net Units Sold,Base Price,Sale Price,Currency,Gross Steam Sales (USD),Chargeback/Returns (USD),VAT/Tax (USD),Net Steam Sales (USD),Tag
2014-01-29,-1,Direct Package Sale,36480,"The Castle Doctrine",Steam,"The Castle Doctrine",Mac,NL,Netherlands,Western Europe,1,0,1,14.99,11.24,EUR,15.3500,0.0000,-2.0075,13.3425,""
2014-01-29,-1,Direct Package Sale,36480,"The Castle Doctrine",Steam,"The Castle Doctrine",Mac,PL,Poland,Eastern Europe,1,0,1,14.99,11.24,EUR,15.3500,0.0000,-2.0075,13.3425,""
2014-01-29,-1,Direct Package Sale,36480,"The Castle Doctrine",Steam,"The Castle Doctrine",Mac,RU,Russian Federation,Russian Territories,3,0,3,349.00,261.00,RUB,22.3300,0.0000,0.0000,22.3300,""
2014-01-29,-1,Direct Package Sale,36480,"The Castle Doctrine",Steam,"The Castle Doctrine",Mac,SE,Sweden,Western Europe,1,0,1,14.99,11.24,EUR,15.3500,0.0000,-2.0075,13.3425,""
2014-01-29,-1,Direct Package Sale,36480,"The Castle Doctrine",Steam,"The Castle Doctrine",Mac,SG,Singapore,South East Asia,1,0,1,15.99,11.99,USD,11.9900,0.0000,0.0000,11.9900,""
2014-01-29,-1,Direct Package Sale,36480,"The Castle Doctrine",Steam,"The Castle Doctrine",Mac,US,United States,North America,92,0,92,15.99,11.99,USD,1105.3600,0.0000,-2.2800,1103.0800,""
2014-01-29,-1,Direct Package Sale,36480,"The Castle Doctrine",Steam,"The Castle Doctrine",Linux,AU,Australia,Oceania,3,0,3,15.99,11.99,USD,35.9700,0.0000,0.0000,35.9700,""
2014-01-29,-1,Direct Package Sale,36480,"The Castle Doctrine",Steam,"The Castle Doctrine",Linux,CA,Canada,North America,4,0,4,15.99,11.99,USD,47.9600,0.0000,0.0000,47.9600,""
2014-01-29,-1,Direct Package Sale,36480,"The Castle Doctrine",Steam,"The Castle Doctrine",Linux,FI,Finland,Western Europe,1,0,1,14.99,11.24,EUR,15.3486,0.0000,-2.0073,13.3413,""
2014-01-29,-1,Direct Package Sale,36480,"The Castle Doctrine",Steam,"The Castle Doctrine",Linux,GB,United Kingdom,Western Europe,1,0,1,12.49,9.36,GBP,15.4900,0.0000,-2.0190,13.4710,""
2014-01-29,-1,Direct Package Sale,36480,"The Castle Doctrine",Steam,"The Castle Doctrine",Linux,RU,Russian Federation,Russian Territories,1,0,1,349.00,261.00,RUB,7.5072,0.0000,0.0000,7.5072,""
2014-01-29,-1,Direct Package Sale,36480,"The Castle Doctrine",Steam,"The Castle Doctrine",Linux,SE,Sweden,Western Europe,1,0,1,14.99,11.24,EUR,15.3500,0.0000,-2.0075,13.3425,""
2014-01-29,-1,Direct Package Sale,36480,"The Castle Doctrine",Steam,"The Castle Doctrine",Linux,US,United States,North America,21,0,21,15.99,11.99,USD,253.9700,0.0000,-2.1800,251.7900,""
2014-01-30,-1,Direct Package Sale,8181,"Inside a Star Filled Sky",Steam,"Inside a Star-filled Sky ",Windows,DE,Germany,Western Europe,1,0,1,7.99,7.99,EUR,10.9084,0.0000,-1.4199,9.4885,""
2014-01-30,-1,Direct Package Sale,8181,"Inside a Star Filled Sky",Steam,"Inside a Star-filled Sky ",Windows,US,United States,North America,1,0,1,7.99,7.99,USD,7.9900,0.0000,0.0000,7.9900,""
