date,state,death,deathDelta
20200513,AR,95,0
20200514,AR,97,2
20200515,AR,98,1
20200516,AR,98,0
20200517,AR,98,0
20200518,AR,100,2
20200519,AR,102,2
20200520,AR,107,5
20200521,AR,110,3
20200522,AR,113,3
20200523,AR,113,0
20200524,AR,116,3
20200525,AR,117,1
20200526,AR,119,2
20200527,AR,120,1
20200528,AR,120,0
20200529,AR,125,5
20200530,AR,133,8
20200531,AR,133,0
20200601,AR,133,0
20200602,AR,133,0
20200603,AR,142,9
20200604,AR,142,0
20200605,AR,152,10
20200606,AR,154,2
20200607,AR,154,0
20200608,AR,155,1
20200609,AR,161,6
20200610,AR,165,4
20200611,AR,171,6
20200612,AR,176,5
20200613,AR,176,0
20200614,AR,179,3
20200615,AR,182,3
20200616,AR,182,0
20200617,AR,197,15
20200618,AR,208,11
20200619,AR,214,6
20200620,AR,224,10
20200621,AR,224,0
20200622,AR,227,3
20200623,AR,237,10
20200624,AR,240,3
20200625,AR,240,0
20200626,AR,240,0
20200627,AR,249,9
20200628,AR,259,10
20200629,AR,265,6
20200630,AR,270,5
20200701,AR,277,7
20200702,AR,279,2
20200703,AR,281,2
20200704,AR,286,5
20200705,AR,286,0
20200706,AR,292,6
20200707,AR,292,0
20200708,AR,301,9
20200709,AR,309,8
20200710,AR,313,4
20200711,AR,313,0
20200712,AR,321,8
20200713,AR,323,2
20200714,AR,331,8
20200715,AR,335,4
20200716,AR,341,6
20200717,AR,353,12
20200718,AR,353,0
20200719,AR,357,4
20200720,AR,357,0
20200721,AR,374,17
20200722,AR,380,6
20200723,AR,386,6
20200724,AR,394,8
20200725,AR,394,0
20200726,AR,401,7
20200727,AR,408,7
20200728,AR,428,20
20200729,AR,434,6
20200730,AR,442,8
20200731,AR,453,11
20200801,AR,460,7
20200802,AR,458,-2
20200803,AR,475,17
20200804,AR,490,15
20200805,AR,508,18
20200806,AR,515,7
20200316,AS,,-515
20200317,AS,,0
20200318,AS,0,0
20200319,AS,0,0
20200320,AS,0,0
20200321,AS,0,0
20200322,AS,0,0
20200323,AS,0,0
20200324,AS,0,0
20200325,AS,0,0
20200326,AS,0,0
20200327,AS,0,0
20200328,AS,0,0
20200329,AS,0,0
20200330,AS,0,0
20200331,AS,0,0
20200401,AS,0,0
20200402,AS,0,0
20200403,AS,0,0
20200404,AS,0,0
20200405,AS,0,0
20200406,AS,0,0
20200407,AS,0,0
20200408,AS,0,0
20200409,AS,0,0
20200410,AS,0,0
20200411,AS,,0
20200412,AS,,0
20200413,AS,,0
20200414,AS,,0
20200415,AS,,0
20200416,AS,,0
20200417,AS,,0
20200418,AS,,0
20200419,AS,,0
20200420,AS,,0
20200421,AS,,0
20200422,AS,,0
20200423,AS,,0
20200424,AS,,0
20200425,AS,0,0
20200426,AS,0,0
20200427,AS,0,0
20200428,AS,0,0
20200429,AS,0,0
20200430,AS,0,0
20200501,AS,0,0
20200502,AS,0,0
20200503,AS,0,0
20200504,AS,0,0
20200505,AS,0,0
20200506,AS,0,0
20200507,AS,0,0
20200508,AS,0,0
20200509,AS,0,0
20200510,AS,0,0
20200511,AS,0,0
20200512,AS,0,0
20200513,AS,0,0
